Z #,Name,Start Date,End Date,Title,Salary Min,Salary Max,Group,Org Code,Pct FTE,Cost,Funded?,Funded % FTE,Total Cost,Notes
235897,,2022-10-01,2023-05-31,PROFESSIONAL - 185000-199999,,,,,0.125,35216,Yes,1,35216,
210816,,2022-10-01,2023-05-31,PROFESSIONAL - 140000-154999,,,,,0.066,14261,Yes,1,14261,
211609,,2022-10-01,2023-05-31,CNTRCTR $121 - $130,,,HPC-DO,3V000A,0.004,1133,Yes,1,1133,
210945,,2022-10-01,2023-05-31,TASK ORDER,,,HPC-DO,3V000A,0.125,39961,Yes,1,39961,
363045,,2022-10-01,2023-05-31,PROFESSIONAL - 125000-139999,,,FP,7H130C,0.008,1602,Yes,1,1602,
328700,,2022-10-01,2023-05-31,PROFESSIONAL - 110000-124999,,,ES-EPD,7R040C,0.096,14980,Yes,1,14980,
240955,,2022-10-01,2023-05-31,PROFESSIONAL - 95000-109999,,,ES-EPD,7R040C,0.096,14465,Yes,1,14465,
121867,,2022-10-01,2023-05-31,PROFESSIONAL - 125000-139999,,,ES-FE,7R030C,0.058,12444,Yes,1,12444,
153092,,2022-10-01,2023-05-31,PROFESSIONAL - 125000-139999,,,ES-FE,7R030C,0.029,5592,Yes,1,5592,
351864,,2022-10-01,2023-05-31,PROFESSIONAL - 110000-124999,,,ES-EPD,7R040C,0.058,9987,Yes,1,9987,
359501,,2022-10-01,2023-12-31,PROFESSIONAL - 95000-109999,,,ES-EPD,7R040C,0.013,2016,Yes,1,2016,
357332,,2022-10-01,2023-12-31,MANAGER - 140000-154999,,,ES-EPD,7R040C,0.006,1276,Yes,2,1276,
280128,,2022-10-01,2023-12-31,PROFESSIONAL - 80000-94999,,,WM-WGS,83011C,0.004,651,Yes,1,651,
322667,,2022-10-01,2023-05-31,PROFESSIONAL - 95000-109999,,,OSH-DS,8B040A,0.058,8676,Yes,1,8676,
110773,,2022-10-01,2023-05-31,PROFESSIONAL - 80000-94999,,,SI-DCRM,9Q060A,0.083,10866,Yes,1,10866,
188055,,2022-10-01,2023-05-31,PROFESSIONAL - 125000-139999,,,STRS,HK150C,0.192,36800,Yes,1,36800,
